id;transaction_id;transaction_type;amount;time;currency
1;Kentucky;Ergonomic Concrete Soap;47193;2020-04-23T10:47:22;USD
2;parsing Buckinghamshire orchestrate;Estates Kids;78266;2020-04-23T05:31:47;SGD
3;Engineer embrace SQL;Checking Account;36557;2020-04-22T15:24:27;MYR
4;Auto Loan Account Zimbabwe;Licensed Sleek Fresh Ball interface;29343;2020-04-22T22:54:16;USD
5;Small Assistant;grey Gourde US Dollar 4th generation;37920;2020-04-23T12:52:40;SGD
6;programming deliver withdrawal;Cloned;39083;2020-04-22T21:14:54;USD
7;connecting Bacon optical;olive IB;21598;2020-04-23T00:44:23;USD
8;capacitor invoice;Awesome Cotton Soap;88660;2020-04-22T20:32:04;SGD
9;Berkshire hard drive;SSL Avon mesh;85161;2020-04-22T16:09:59;MYR
10;Savings Account Denar intangible;SCSI Lek;98464;2020-04-22T22:12:09;MYR
